System,Utterance,Source,ref1,ref2,hyp
Facebook-AI,111,"Podle mluvčího banky Lukáše Kropíka se problém mohl týkat tisíců transakcí.
","According to Lukáš Kropík, the bank's spokesman, the problem may include thousands of transactions.
","The bank's spokesperson, Lukáš Kropík, said the problem could apply to thousands of transactions.
","According to the bank's spokesman, Lukas Kropik, the problem could have affected thousands of transactions.
"
Facebook-AI,112,"Chybu už spořitelna odstranila a peníze klientům vrátila.
","The bank has removed the flaw and returned money to the clients.
","Česká spořitelna has already corrected the error and refunded the customers.
","The savings bank has already rectified the error and returned the money to the clients.
"
Facebook-AI,113,"Problémy se zdvojeným účtováním karetních plateb spořitelna zaznamenala v sobotu odpoledne.
","The bank noticed the problems with double-charging on Saturday afternoon.
","The bank noticed the problem of double-charged card payments on Saturday afternoon.
","The savings bank noticed problems with the double charging of card payments on Saturday afternoon.
"
Facebook-AI,114,"""Ještě včera (v sobotu) v noci jsme provedli aktualizaci systému a všechny tyto zdvojené platby ihned vrátili klientům.
","""As late as yesterday (on Saturday) night, we updated the system and returned all double-charged payments to the clients immediately.
","""We updated our system last night (Saturday) and promptly refunded our customers for the double-charged payments.
","""Yesterday (Saturday) night, we updated the system and all these duplicate payments were immediately returned to the clients.
"
Facebook-AI,115,"V tuto chvíli vše funguje bez problémů,"" sdělil v neděli odpoledne Kropík.
","Everything is working correctly at the moment,"" Kropík said on Sunday afternoon.
","Everything is running smoothly at this point,"" said Kropík on Sunday afternoon.
","At the moment everything is working without any problems,"" said Kropík on Sunday afternoon.
"
Facebook-AI,116,"Přesný počet klientů, kterým banka odečetla peníze z karetních plateb dvakrát, mluvčí banky nezná, podle jeho odhadu šlo o nižší tisíce transakcí.
","The bank's spokesman does not know the exact number of the clients whose card payments were double-charged, the problem may relate to just a few thousands of transactions, according to his estimation.
","He didn't know the exact number of costumers that the bank had charged twice, but he estimated that it had been a few thousand transactions.
","A spokesman for the bank does not know the exact number of clients to whom the bank deducted money from card payments twice; according to his estimate, there were fewer than a thousand transactions.
"
Facebook-AI,117,"Příčiny problémů spořitelna zjišťuje.
","The bank is investigating the root cause of problems.
","The bank has been looking into what could have caused these problems.
","The savings bank is investigating the causes of the problems.
"
Facebook-AI,118,"""Mohlo jít o kombinaci více faktorů,"" uvedl Kropík.
","""That may have been a combination of more factors,"" Kropík said.
","""It could have been a combination of several factors,"" said Kropík.
","""It could have been a combination of several factors,"" Kropík said.
"
Facebook-AI,119,"Česká spořitelna je největší bankou v Česku podle počtu klientů.
","Česká spořitelna is the biggest bank in the Czech Republic by number of clients.
","Česká spořitelna is the biggest Czech bank in terms of the number of customers.
","Česká spořitelna is the largest bank in the Czech Republic in terms of the number of clients.
"
Facebook-AI,120,"Na konci března jich měla 4,6 milionu.
","It had 4,6 billion clients at the end of March.
","In late March, it had 4,6 million clients.
","At the end of March, it had 4.6 million.
"
Facebook-AI,121,"Vlastníkem spořitelny je rakouská finanční skupina Erste Group Bank, která je klíčovým hráčem na bankovním trhu střední a východní Evropy.
","Austrian financial services provider Erste Group Bank, the owner of Česká spořitelna, is the key player in the banking market of Middle and Eastern Europe.
","The bank is owned by the Austrian financial services provider Erste Group Bank, which is a key player on the banking market of Central and Eastern Europe.
","The owner of the savings bank is the Austrian financial group Erste Group Bank, which is a key player in the banking market of Central and Eastern Europe.
"
Facebook-AI,122,"Vojtěch v pondělí představí systém tří pohotovostních stupňů proti koronaviru
","Vojtěch to introduce three-level anti-coronavirus system on Monday
","On Monday, Vojtěch will introduce a three tier emergency system against coronavirus.
","Vojtěch will present a system of three emergency levels against the coronavirus on Monday
"
Facebook-AI,123,"""Stupně budou podle síly komunitního šíření na úrovni regionů.
","""The levels will be divided region-by-region depending on the strength of the community spread.
","The tiers will be determined by the strength of the community spread at the regional level.
","""They will be graded according to the strength of community spread at the regional level.
"
Facebook-AI,124,"Děláme na tom společně s epidemiology a Ústavem zdravotnických informací a statistiky,"" řekl Vojtěch v ČT.
","We are cooperating with epidemiologists and the Institute of Health Information and Statistics on this matter,"" Vojtěch said at ČT.
","We are working on it together with epidemiology and the Institute for health information and statistics, Vojtěch told ČT.
","We are working on it together with epidemiologists and the Institute of Health Information and Statistics,"" Vojtěch told Czech Television.
"
Facebook-AI,125,"Půjde o tzv. semafor, jednotlivé regiony budou označeny zelenou, oranžovou nebo červenou barvou podle rizika výskytu koronaviru.
","It will be the so-called traffic lights, individual regions will be marked in green, orange or red colours depending on the risk of coronavirus occurence.
","This will be the so-called traffic light, according to which, regions will be marked green, orange, or red as determined by risk of coronavirus incidence.
","It will be a so-called traffic light, individual regions will be marked with green, orange or red according to the risk of coronavirus.
"
Facebook-AI,126,"Ministr dodal, že o zařazení jednotlivých krajů bude ještě hovořit s epidemiology.
","The Minister added that he was going to discuss regions classification with epidemiologists.
","The minister added that there would be further discussion with epidemiology regarding the inclusion of individual regions.
","The minister added that he would discuss the classification of individual regions with epidemiologists.
"
Facebook-AI,127,"Připustil, že oranžovou barvu by v současnosti měl jen Moravskoslezský kraj a blížila by se k němu Praha.
","He admitted that currently only Moravskoslezský region would correspond with the orange level and Prague would be close to it as well.
","He admitted that at the moment, only the Moravian-Silesion region would qualify for the orange designation, although Prague is approaching the orange level.
","He admitted that currently only the Moravian-Silesian Region would have an orange color and Prague would be close to it.
"
Facebook-AI,128,"Na mapě budou figurovat také jednotlivá opatření pro krajské hygienické stanice, nemocnice, sociální zařízení i zaměstnavatele.
","On the map, there will also be measures available for regional public health offices, hospitals, social care facilities and employers.
","The map will also include individual measures for regional hygienic stations, hospitals, social services, and employers.
","The map will also include individual measures for regional hygiene stations, hospitals, social facilities and employers.
"
Facebook-AI,129,"""Chceme to řešit na úrovni regionů, protože situace v nich není jednolitá,"" uvedl Vojtěch.
","""We want to solve this on a regional basis as the situation varies region-by-region,"" Vojtěch said.
","We want to address this at the regional level because the situations are not uniform between regions, stated Vojtěch.
","""We want to solve this at the level of the regions, because the situation there is not uniform,"" Vojtěch said.
"
Facebook-AI,130,"Vodník a Karolínka
","Water goblin and Karolínka
","Hasterman and Karolinka
","The Water Sprite and Caroline
"
Facebook-AI,131,"Když se do sebe zakoukají vodník Jonáš a mlynářova dcera Karolínka, nemají to vůbec jednoduché.
","When the water goblin Jonáš and the miller's daughter Karolínka falls in love with each other, their lifes are not simple at all.
","When Hasterman Jonáš and the miller's daughter, Karolinka, fall for each other, they do not have an easy time of it at all.
","When the water sprite Jonáš and the miller's daughter Karolínka fall in love with each other, it is not easy at all.
"
Facebook-AI,132,"Jonášovi v lásce brání jeho otec, nerudný vodník Hastrbuch, Karolínka zas nemá potuchy, že její milý Jonáš není člověk.
","Jonáš's father, the rude water goblin Hastrbuch, does not approve of their love, Karolínka, on the other hand, does not have a clue that her beloved one Jonáš is not a human being.
","Jonáš's father, the sullen Hasterman Hastrbuch, is against the couple's love, while Karolinka has no clue that her dear Jonáš is actually not a human.
","Jonas is prevented from falling in love by his father, the grumpy water sprite Hastrbuch, while Caroline has no idea that her beloved Jonas is not human.
"
Facebook-AI,133,"Ještěže je tu mládek Libor, který udělá všechno pro to, aby celou ves, a obzvlášť Karolínku, před tím vodnickým padouchem ochránil.
","What's more, the mill foreman Libor does everything to protect the whole village, and especially Karolínka, against the water monster.
","To top it off, young Libor will do anything to protect the whole village, and especially Karolinka, from the watery villain.
","Fortunately, there is a young man, Libor, who will do everything in his power to protect the whole village, and especially Karolína, from the villain of Vodnice.
"
Facebook-AI,134,"Co na tom, že bude intrikovat a lhát?
","What's wrong with the fact that he will intigue and lie?
","So what if this means that he is going to engage in deceptions and lies?
","What does it matter if he schemes and lies?
"
Facebook-AI,135,"Hlavně když dokáže, aby Karolínka Jonáše zavrhla a dala přednost jemu, udatnému Liborovi.
","The main thing is that he will make Karolínka to leave Jonáš and prefers him, brave Libor.
","Especially when it appears that Karolinka rejects Jonáš in favor of the valiant Libor.
","Especially if he can get Karolína to reject Jonáš in favour of him, the valiant Libor.
"
Facebook-AI,136,"Zanedlouho je všem ve vsi jasné, kdo může za utopení ponocného Konvičky, zkaženou mouku, požár mlýna i další lotroviny.
","Shortly after that, everyone in the village knows who's fault is the drowning of the night watcher Konvička, spoiled flour, the fire in the mill and other villainies.
","Soon enough, it is obvious to the whole village who is responsible for the Night Watchman Konvička, the spoilt flour, the fire in the Mill, and other mischief.
","Soon it becomes clear to everyone in the village who is to blame for the drowning of the night watchman Konvička, the spoiled flour, the fire in the mill and other villainy.
"
Facebook-AI,137,"Rozezlení vesničané uspořádají hon na vodníka, a k tomu ještě na Jonášovu hlavu dopadne nesmiřitelná vodnická kletba.
","Angry village people organises the water-goblin hunt, and aditionally Jonáš is cursed irreconcilably by a water-goblin curse.
","The infuriated villagers go after the Hasterman and to top it off, Jonáš ends up the target of an irreversible water curse.
","The angry villagers organize a hunt for the water sprite, and on top of that an implacable water sprite curse falls on Jonah's head.
"
Facebook-AI,138,"A teď Konvičkova dušičko Karolínce raď!
","And now Konvička's soul may Karolínka advise!
","And now Konvička's spirit likes Karolinka!
","And now, Konvička's little soul, advise Karolína!
"
Facebook-AI,139,"Jak obměkčit starého Hastrbucha, přesvědčit sousedy o Jonášově nevině, najít Jonáše a vysvobodit ho ze zakletí?
","How to melt the old Hastrbuch's heart, convince village people about Jonáš's innocence, find Jonáš and free him from enchantment?
","How to appease Old Hastrbuch, convince the neighbors that Jonáš is innocent, find Jonáš, and free him from the curse?
","How to soften old Hastrbuch, to convince the neighbors of Jonah's innocence, to find Jonah and free him from the spell?
"
Facebook-AI,140,"Pohádka byla natáčena v září 2010 ve studiích ČT a v exteriérech u rybníka Brzina, v Obděnicích na Sedlčansku a v překrásném prostředí historického mlýna v Hoslovicích.
","The fairy tale was made in September 2010, at ČT film studios and outdoor scenes by pond Brzina, in Obděnice, Sedlčansko, and in a beautiful surroundings of the historical mill in Hoslovice.
","The fairytale was filmed in September 2010 at ČT's studios with the exteriors filmed around the Brzina Pond, in Obděnice na Sedlčansko, as well as in the beautiful environs of the historic mill in Hoslovice.
","The fairy tale was filmed in September 2010 in the Czech Television studios and on location at the Brzina pond, in Obděnice in the Sedlčany region and in the beautiful surroundings of the historic mill in Hoslovice.
"
Facebook-AI,141,"Mostecký autodrom spouští nový e-shop
","Autodrom Most to launch new e-shop
","Most racetrack is launching a new e-shop
","Most Autodrom is launching a new e-shop
"
Facebook-AI,142,"Zákazníci mosteckého autodromu mohou využívat na jeho webových stránkách nový e-shop.
","Autodrom Most's customers can use a new e-shop which is available on its website.
","A new e-shop is now available to the customers of a motor racing track in the Czech town of Most.
","Customers of the Most circuit can use a new e-shop on its website.
"
Facebook-AI,143,"Zakoupí v něm již také kupóny pro volné a testovací jízdy autem či motocyklem na velkém závodním okruhu, což dříve bylo možné jen osobně u pracovníka autodromu ve startovní věži.
","They can also buy here vouchers for free and test rides by car or motorbike on a large racing circuit, which, they could only buy personally from autodrom's employee in the starting tower.
","This allows for an online purchase of tickets for car and motorcycle track-day drives on the long racing circuit, which were previously only sold by the racetrack staff on site.
","They will also be able to buy coupons for free and test drives by car or motorcycle on a large racing circuit, which was previously only possible in person at the autodrome employee in the starting tower.
"
Facebook-AI,144,"""Přistoupili jsme k vylepšení e-shopu tak, aby byl uživatelsky přívětivý, a zároveň jsme rozšířili portfolio produktů a služeb, jež je možné jeho prostřednictvím pořídit.
","""We have improved our e-shop so that it is user-friendly, and at the same time we have expanded product and service portfolio that can be purchased via it.
","“We’ve improved our e-shop to be more user-friendly, at the same time extending the range of products and services available online.
","""We have taken steps to improve the e-shop so that it is user-friendly, and at the same time we have expanded the portfolio of products and services that can be purchased through it.
"
Facebook-AI,145,"Zároveň jsme při této příležitosti připravili pro naše zákazníky bonus v podobě slevy ve výši 1 000 korun na všechny kurzy bezpečné jízdy z naší nabídky.
","On that occasion, we have also prepared a bonus for our customers, namely a discount of 1,000 CZK related to all driver safety courses in our portfolio.
","We’ve also decided to use this occasion to reward our customers with a discount of 1,000 Czech crowns on all safe-driving courses we offer.
","At the same time, we have prepared a bonus for our customers on this occasion in the form of a discount of CZK 1,000 on all safe driving courses from our offer.
"
Facebook-AI,146,"Slevový kupon najdou na stránce www.autodrom-most.cz,"" vysvětlila obchodní a marketingová ředitelka společnosti AUTODROM MOST Jana Svobodová.
","They will find vouchers on webpage www.autodrom-most.cz,"" Jana Svobodová, sales and marketing director of AUTODROM MOST, explained.
","Discount coupons can be obtained at the link: www.autodrom-most.cz,” says Jana Svobodová, the Sales and Marketing Director of AUTODROM MOST racetrack.
","The discount coupon can be found on the website www.autodrom-most.cz,"" explained Jana Svobodová, Sales and Marketing Director of AUTODROM MOST.
"
Facebook-AI,147,"Webová stránka e-shopu je podle ní nyní přehledná, zákazník se v ní snadno orientuje.
","According to her, the e-shop's website is now cleaner and easier to use.
","According to her, the e-shop’s webpage is now well laid-out and easy for the customers to navigate through.
","According to her, the website of the e-shop is now clear, the customer can easily navigate through it.
"
Facebook-AI,148,"""Návštěvník e-shopu si na liště vybere zaměření, na které cílí.
","""A visitor to the e-shop will indicate on the navigation bar what they are searching.
","“Users can select the desired option from the menu bar.
","""The visitor to the e-shop selects the focus they are aiming for on the bar.
"
Facebook-AI,149,"Například tedy sport, kurzy bezpečné či sportovní jízdy, školení, zážitkové programy, dárkové předměty, dárkové poukazy, aktivity pro děti a další,"" vyjmenovala ředitelka.
","E.g. sports, driver safety or sports courses, experience gifts, gift items, gift vouchers, activities for children and many others,"" the director said.
","Those include sports, safe-driving or sports-driving courses, training, experiential programs, gifts and gift certificates, children’s activities and so on,” says the Director.
","For example, sports, safe or sporty driving courses, training, experience programs, gift items, gift vouchers, activities for children and others,"" said the director.
"
Facebook-AI,150,"Mezi novinky v nabízených produktech a službách e-shopu patří například triko kolekce Racing Legends s překvapením, autodráha, kurz bezpečné jízdy za snížené viditelnosti, reklamní a dárkové předměty tuzemského profesionálního závodního týmu Buggyra Racing nebo rukavice Engelmuller z limitované edice hodinářské manufaktury BOHEMATIC, vytvořené u příležitosti historického vítězství v prestižním závodě 24 hodin Le Mans v roce 1949.
","New e-shop products and services include e.g. a Racing Legends suprise T-shirt, race track, driver safety course in low visibility conditions, promotional and gift items of the home proffesional racing team Buggyra Racing or limited edition Engelmuller gloves from BOHEMATIC watches manufactory, made on the occasion of the historical victory in the prestigious race 24 Hours of Le Mans in 1949.
","The new products and services available on the e-shop include a Racing Legends T-shirt with a surprise, a racetrack, a driving in poor visibility conditions course, promotional and gift products from the Czech professional racing team Buggyra Racing, or the limited-edition Engelmuller driving gloves from the BOHEMATIC watchmaking manufacturer, produced in honor of the 1949 historic victory in the prestigious 24 Hours of Le Mans race.
","The novelties in the products and services offered by the e-shop include, for example, a T-shirt of the Racing Legends collection with a surprise, a race track, a course on safe driving in reduced visibility, advertising and gift items of the domestic professional racing team Buggyra Racing or Engelmuller gloves from the limited edition of the BOHEMATIC watch manufactory, created on the occasion of the historic victory in the prestigious 24 Hours of Le Mans race in 1949.
"
Facebook-AI,151,"""Nabídka je velmi pestrá, zákazník může vybírat z více než 200 položek,"" upřesnila Jana Svobodová.
","""The offer is very rich, a customer can choose from more than 200 items,"" Jana Svobodová added.
","“We offer a wide range of products and services, allowing our customers to choose from more than 2,000 options,” Jana Svobodová added.
","""The offer is very varied, the customer can choose from more than 200 items,"" said Jana Svobodová.
"
Facebook-AI,152,"Při úhradě vybraného produktu či služby zákazník může zvolit jednu ze čtyř možností.
","Customers can choose one of four methods of payment when paying for the chosen product or service.
","When ordering a product or service, customers can choose from four payment methods.
","When paying for the selected product or service, the customer can choose one of four options.
"
Facebook-AI,153,"Platbu zálohou (bankovním převodem), dobírkou, hotově při osobním odběru nebo on-line prostřednictvím platební brány.
","By deposit payment (bank transfer), cash on delivery, cash when picking up personally or via on-line payment gateway.
","Prepayment (bank transfer), cash on delivery, cash on collection, or online via a payment gateway.
","Payment by deposit (bank transfer), cash on delivery, cash in person or online via a payment gateway.
"
Facebook-AI,154,"Průběh nemoci většiny je mírný, do nemocnice musí jen tři procenta nakažených
","Disease progress is mostly mild, only 3 % of infected must go to hospital
","Majority of COVID-19 cases are mild, only 3% of cases are hospitalised
","The course of the disease of the majority is mild, only three percent of those infected have to go to the hospital
"
Facebook-AI,155,"Buď se Českem šíří mírnější forma koronaviru, nebo nám letní dávka sluníčka výrazně zlepšila imunitu.
","Either a slighter form of coronavirus has spread across the Czech Republic, or the summer sunshine has improved our immunities significantly.
","Either Czechs are faced with a milder variant of COVID-19, or the dose of summer sunshine greatly boosted our immune system.
","Either a milder form of the coronavirus is spreading through the Czech Republic, or our summer dose of sunshine has significantly improved our immunity.
"
Facebook-AI,156,"Infekční oddělení nemocnic jsou poloprázdná, i když čísla nakažených rostou.
","Isolation wards in hospitals are half-empty, although the number of infected people is increasing.
","While COVID-19 cases keep soaring, infectious disease wards at hospitals remain empty.
","Infectious disease wards in hospitals are half-empty, even though the number of infected people is on the rise.
"
Facebook-AI,157,"""Ta situace dnes a v dubnu je zcela jiná a je to dáno především počtem hospitalizovaných,"" potvrzuje ministr zdravotnictví Adam Vojtěch.
","""The situation today and in April is very different, which is done mainly by the number of people in hospitals,"" Adam Vojtěch, the Minister of Health, confirms.
","“The situation today is entirely different than in April and it is mostly due to the number of hospitalised cases,” Minister of Health Adam Vojtěch confirms.
","""The situation today and in April is completely different and this is mainly due to the number of people hospitalized,"" confirms the Minister of Health Adam Vojtěch.
"
Facebook-AI,158,"Stojí za připomenutí, že 11. dubna, kdy u nás vrcholila první vlna epidemie, nosili všichni roušky, odběry prováděla armáda, republika byla zavřená a Češi spotřebovali dezinfekci na rok dopředu.
","It is worth remembering that on 11th April, when the first pandemic wave culminated, everyone was wearing a face mask, the army was testing people, the republic was closed and the Czech people used up dezinfectants a year ahead.
","Let us not forget that at the peak of the first wave, on April 11, the whole population wore face masks, the army assisted with testing, the whole country was under lockdown and its population had used a year’s worth of disinfectants.
","It is worth recalling that on April 11, when the first wave of the epidemic peaked in our country, everyone wore masks, the army carried out the sampling, the republic was closed and the Czechs consumed disinfectant for a year in advance.
"
Facebook-AI,159,"Přesto umíralo deset lidí denně.
","However, 10 people died every day.
","In spite of this, ten people died on average every day.
","In spite of this, ten people died every day.
"
Facebook-AI,160,"Teď jsou denní nárůsty počtu nakažených vyšší, ale každý den s covid-19 umírají maximálně dva lidé.
","Now the number of confirmed cases has increased, but 2 people die of Covid-19 at maximum per day.
","At the moment, while the daily increases in cases are higher, only up to two people die of the virus each day.
","Now the daily increases in the number of infections are higher, but at most two people die every day with covid-19.
"
Facebook-AI,161,"Nejvyšší počet nakažených na počet obyvatel má stále Karvinsko, podobná čísla už má i Jihlava kvůli ohnisku v místním Alzheimercentru, kde je už 57 nakažených - 40 klientů a 17 zaměstnanců.
","The highest number of infected people has still been in Karvinsko, the similar situation is also in Jihlava due to en epicentre of coronavirus in Alzheimer Disease Centre with 57 infected people - 40 clients and 17 employees.
","The district of Karviná still accounts for the highest number of cases, followed by the town of Jihlava with a cluster of already 57 positive cases in a care home for patients with Alzheimer’s disease (40 clients and 17 employees).
","Karviná still has the highest number of infected people per capita, and Jihlava already has similar numbers due to an outbreak in the local Alzheimer's centre, where there are already 57 infected people - 40 clients and 17 employees.
"
Facebook-AI,162,"Další domov pro seniory uzavřeli hygienici v Černožicích na Královéhradecku.
","Other old people's home has been closed by hygienists in Černožice, Královéhradecko.
","Hygiene experts decided to isolate one more retirement home in Černožice in the region of Králův Hradec.
","Another home for the elderly was closed by sanitary inspectors in Černožice in Hradec Králové.
"
Facebook-AI,163,"Nemoc potvrdily testy u jedné z ošetřovatelek.
","On of the female nurse had a positive test.
","One employee tested positive for the disease.
","The disease was confirmed by tests on one of the nurses.
"
Facebook-AI,164,"""Trasujeme, omezili jsme pohyb, máme všechna hygienická opatření,"" říká ředitel domova důchodců Martin Scháněl.
","""We are tracing contacts, we have restricted movements, we have all hygienic measures,"" Martin Scháněl, the old people's home director, says.
","“We are tracking the cases, restrict movement and apply all the necessary hygiene measures,” Martin Scháněl, the facility’s director, says.
","""We are tracing, we have restricted movement, we have all the hygienic measures,"" says the director of the retirement home, Martin Scháněl.
"
Facebook-AI,165,"Podle něj žádný z klientů domova zatím nemá příznaky onemocnění.
","According to him, none of the home's clients has had symptoms of the disease.
","None of the patients has developed symptoms so far.
","According to him, none of the clients of the home have symptoms of the disease so far.
"
Facebook-AI,166,"Plošné testování začnou hygienici provádět zítra a pak rozhodnou o dalším opatření.
","Hygienists are starting with the whole area testing tomorrow, and after that they will make a decision on other measure.
","Blanket testing of clients and staff will begin tomorrow and the hygiene stations then decides on the next steps.
","The hygienists will begin to carry out comprehensive testing tomorrow and will then decide on further measures.
"
Facebook-AI,167,"Na zvýšený počet nakažených reagují i nemocnice.
","Also hospitals are reacting to the increasing number of infected people.
","In view of the soaring cases, Czech hospitals take preparatory measures.
","Hospitals are also responding to the increased number of infected people.
"
Facebook-AI,168,"Onkologický ústav v Brně dnes spustil automatický kamerový systém u vstupu, který pozná, jestli mají lidé při vstupu nasazenou roušku.
","Today, Masaryk Memorial Cancer Institute in Brno has started to operate an automatic camera system at the entry of the hospotal, which can recognise whether people wear face masks.
","Today, the Cancer Institute in Brno installed at its entrance a mask detection system capable of automatically detecting whether people are wearing masks when entering the building.
","The Institute of Oncology in Brno today launched an automatic camera system at the entrance, which detects whether people are wearing a mask when they enter.
"
Facebook-AI,169,"Rekord hlásí jihočeští hygienici, kteří zaznamenali pětadvacet případů koronaviru - většinu z nich tvoří zahraniční zaměstnanci prachatické firmy.
","Hygyenists in southern part of the country have reported a record number of 25 confirmed coronavirus cases - most of which are foreign employees of a firm in Prachatice.
","The historically highest number of COVID-19 cases was recorded by the hygiene station in Southern Bohemia – most of the 25 cases are foreign employees of one Prachatice-based company.
","The record is reported by the South Bohemian hygienists, who have recorded twenty-five cases of coronavirus - most of them are foreign employees of the Prachatice company.
"
Facebook-AI,170,"Celkově přibylo za sobotu 131 nakažených - tedy polovina pátečního počtu - o víkendu se ale méně testuje.
","There were 131 new confirmed cases in total on Saturday - that is half of the Friday's number - however, less tests are carried out during weekends.
","In total, 131 new cases were reported on Saturday. It is half as many as on Friday, but it must be noted that less people take tests at weekends.
","A total of 131 people were infected on Saturday - half of the number on Friday - but fewer tests are carried out at the weekend.
"
Facebook-AI,171,"Debutant šampionem!
","Debutant champion!
","Debutant becomes champion!
","Debutant to champion!
"
Facebook-AI,172,"Van den Bergh dopsal pohádku, Andersona smetl
","Van den Bergh finished writing fairy tale, he smashed Anderson
","With a dazzling performance, Van den Bergh destroys Anderson
","Van den Bergh completes fairytale, sweeps aside Anderson
"
Facebook-AI,173,"Velké překvapení turnaje jménem Dimitri van den Bergh předvedlo vynikající výkon i v souboji s hráčem, který druhý nejprestižnější podnik v rámci PDC vyhrál v roce 2018.
","Dimitri van den Bergh, the tournament's big surprise, showed en excellent performance also in a duel with the player who won the second most prestigious PDC event in 2018.
","To a complete surprise of all, Dimitri Van den Bergh put in an excellent performance in the game against the 2018 winner of the second most prestigious competition within the PDC.
","The big surprise of the tournament, Dimitri van den Bergh, also showed an excellent performance against the player who won the second most prestigious event in the PDC in 2018.
"
Facebook-AI,174,"Úvod zápasu byl oboustranně vyrovnaný, zlom přišel za stavu 8:7 pro belgického šipkaře.
","The beginning of the duel was mutually equal, the turn happened at 8:7 for the Belgian darts player.
","After a tight beginning, the Belgian darts player started to outplay his rival 8:7.
","The beginning of the match was evenly balanced on both sides, the turning point came at 8:7 for the Belgian darts player.
"
Facebook-AI,175,"Van den Bergh si vzal brejk 13šipkovým legem a od té doby měl navrch.
","Van den Bergh took a break by 13-dart leg and he got the upper hand since then.
","With a fantastic score in his 13th leg, Van den Bergh moved into the lead and dominated the rest of the game.
","Van den Bergh took the break with a 13-dart leg and had the upper hand from then on.
"
Facebook-AI,176,"Svého soupeře svou hrou doslova drtil a výrazně zkušenější ""Létající Skot"" se jen těžko dostával k doublům.
","He was virtually crushing his opponent by his play and the much more experienced ""Flying Scotsman"" could hardly hit doubles.
","He literally smashed his rival and the much more experience “Flying Scotsman” had hard time scoring barely any double points.
","He literally crushed his opponent with his game and the significantly more experienced ""Flying Scotsman"" had a hard time getting to the doubles.
"
Facebook-AI,177,"O tom, jakým způsobem jej měl ""Tvůrce snů"" v hrsti, svědčí i to, že rozhozený Anderson zahrál své první maximum až ve 24. legu.
","The way how the ""Dreammaker"" had him in his pocket was also showed by the fact that disconcerted Anderson hit his first maximum no sooner than in the 24th leg.
","The “DreamMaker“ managed to throw his rival off balance to such an extent that the completely disconcerted Anderson managed to score his maximum score only in the 24th leg.
","The way the ""Dream Maker"" had him in the palm of his hand is evidenced by the fact that the distracted Anderson played his first maximum only in the 24th leg.
"
Facebook-AI,178,"Navíc, mladý Belgičan zvládal skvěle vysoké checkouty.
","Aditionally, the young Belgian managed checkouts excellently.
","What is more, the young Belgian was able to complete a stunning number of high checkouts.
","On top of that, the young Belgian handled the high checkouts perfectly.
"
Facebook-AI,179,"Naposledy prohrával v jedenáctém legu, za nepříznivého stavu ale ""chytil velkou rybu"" a zavřel 170.
","Last time he was loosing in the 11th leg, but he ""caught a big fish"" in an unfavourable situation and closed 170.
","When losing in his 11th leg, Van den Bergh managed to “score big” and landed with 170.
","The last time he lost was in the eleventh leg, but under unfavorable conditions he ""caught a big fish"" and closed 170.
"
Facebook-AI,180,"V závěru zápasu byla na Andersonovi vidět obrovská frustrace.
","Anderson was obviously very much frustrated at the end of the duel.
","By the end of the game, Anderson was palpably frustrated.
","At the end of the match, Anderson was visibly frustrated.
"
Facebook-AI,181,"Šipky spíš jen zahazoval a jeho za triumfem kráčící soupeř si počínal naprosto suverénně.
","He was rather throwing the darts away while his opponent was sailing to a triumphal victory.
","While Andersons’ shots showed signs of resignation, the Belgian sailed to victory with absolute confidence.
","Rather, he just threw the darts and his opponent, who was going for the triumph, behaved in an absolutely masterful manner.
"
Facebook-AI,182,"Van den Bergh proměnil hned první ze tří match dartů a dostál svému jménu - napsal svůj velký sen.
","Van den Bergh promptly turned first of three match darts and lived up to his name - he wrote his big dream.
","He managed to hit the first out of the tree match darts and lived up to his name, when he made his big dream come true.
","Van den Bergh converted the first of three match darts and lived up to his name - he wrote his big dream.
"
Facebook-AI,183,"Zisk trofeje pojmenované po Philu Taylorovi je pro belgického šipkaře o to cennější, že se jedná o jeho první vyhraný major.
","The gain of the trophy named after Phil Taylor is for the Belgian darts even more valuable victory as this has been his first major win.
","The worth of the trophy – named after Phil Taylor – was certainly further increased by the fact that the Belgian player claimed his first TV major.
","Winning the trophy named after Phil Taylor is all the more valuable for the Belgian darts player as it is his first major win.
"
Facebook-AI,184,"I nadále tak platí, že posledním hráčem, který dokázal van den Bergha porazit, je Karel Sedláček.
","Still the last player who managed to beat van den Bergh was Karel Sedláček.
","Karel Sedláček has since remained the last player to defeat Van den Bergh.
","It remains true that the last player who managed to beat van den Bergh is Karel Sedláček.
"
Facebook-AI,185,"V Nantes padlo obvinění kvůli požáru katedrály, muž se přiznal
","Man charged with Nantes Cathedral fire confessed
","Man confesses to starting fire at Nantes Cathedral
","Charges dropped in Nantes cathedral fire, man confesses
"
Facebook-AI,186,"Katedrála svatého Petra a Pavla v srdci Nantes začala hořet minulou sobotu a oheň vážně poškodil původní vitrážová okna z 16. století a zničil varhany.
","The fire broke out in the Cathedral of St. Peter and St. Paul in the heart of Nantes last Saturday and the fire badly damaged original stained glass windows dated from the 16th century and destroyed the organ.
","The Cathedral of St.Peter and St.Paul situated in the heart of Nantes caught on fire last Saturday, with the blaze severely damaging original stained-glass windows from the 16th century and destroying the organ.
","The Cathedral of Saints Peter and Paul in the heart of Nantes caught fire last Saturday, severely damaging the original 16th century stained glass windows and destroying the organ.
"
